"local_electoral","fecha_recepcion_trep","codigo_candidatura","numero_mesa","numero_lista","total_votos","total_votantes","tiempo_estimado_hora"
"11_31_0_501","2023-04-30 17:28:09.655",1,4,3,84,303,15
"0_0_5_33","2023-04-30 17:28:10.617",1,2,911,25,301,15
"0_0_5_33","2023-04-30 17:28:10.617",1,2,3,73,301,15
"0_0_5_33","2023-04-30 17:28:10.617",1,2,1,178,301,15
"0_0_1_23","2023-04-30 17:28:44.316",1,3,3,70,302,15
"0_0_1_23","2023-04-30 17:28:44.316",1,3,911,48,302,15
"0_0_1_23","2023-04-30 17:28:44.316",1,3,1,167,302,15
"0_0_1_2","2023-04-30 17:29:05.897",1,9,911,46,302,15
"0_0_1_2","2023-04-30 17:29:05.897",1,9,1,146,302,15
"0_0_1_2","2023-04-30 17:29:05.897",1,9,3,77,302,15
"0_0_2_6","2023-04-30 17:29:06.703",1,2,911,30,304,15
"0_0_2_6","2023-04-30 17:29:06.703",1,2,1,158,304,15
"0_0_2_6","2023-04-30 17:29:06.703",1,2,3,84,304,15
"0_0_1_2","2023-04-30 17:30:18.837",1,14,1,159,305,15
"0_0_1_2","2023-04-30 17:30:18.837",1,14,3,92,305,15
"0_0_1_2","2023-04-30 17:30:18.837",1,14,911,32,305,15
"0_0_5_18","2023-04-30 17:31:16.827",1,1,1,171,303,15
"0_0_5_18","2023-04-30 17:31:16.827",1,1,911,24,303,15
"0_0_5_18","2023-04-30 17:31:16.827",1,1,3,84,303,15
"12_0_0_1","2023-04-30 17:32:21.748",1,8,1,177,304,15
"12_0_0_1","2023-04-30 17:32:21.748",1,8,911,37,304,15
"12_0_0_1","2023-04-30 17:32:21.748",1,8,3,71,304,15
"0_0_1_1","2023-04-30 17:32:29.733",1,7,911,55,312,15
"0_0_1_1","2023-04-30 17:32:29.733",1,7,3,72,312,15
"0_0_1_1","2023-04-30 17:32:29.733",1,7,1,167,312,15
"3_7_0_3","2023-04-30 17:32:34.651",1,8,911,34,303,15
"3_7_0_3","2023-04-30 17:32:34.651",1,8,3,133,303,15
"3_7_0_3","2023-04-30 17:32:34.651",1,8,1,129,303,15
"3_27_0_503","2023-04-30 17:33:04.244",1,2,3,62,308,15
"3_27_0_503","2023-04-30 17:33:04.244",1,2,1,197,308,15
"3_27_0_503","2023-04-30 17:33:04.244",1,2,911,31,308,15
"0_0_1_2","2023-04-30 17:33:40.355",1,6,911,51,311,15
"0_0_1_2","2023-04-30 17:33:40.355",1,6,1,153,311,15
"0_0_1_2","2023-04-30 17:33:40.355",1,6,3,87,311,15
"0_0_3_11","2023-04-30 17:33:52.119",1,2,911,28,303,15
"0_0_3_11","2023-04-30 17:33:52.119",1,2,1,145,303,15
"0_0_3_11","2023-04-30 17:33:52.119",1,2,3,109,303,15
"0_0_1_3","2023-04-30 17:34:12.192",1,5,1,165,311,15
"0_0_1_3","2023-04-30 17:34:12.192",1,5,3,60,311,15
"0_0_1_3","2023-04-30 17:34:12.192",1,5,911,57,311,15
"0_0_3_14","2023-04-30 17:34:20.102",1,7,911,48,309,15
"0_0_3_14","2023-04-30 17:34:20.102",1,7,3,79,309,15
"0_0_3_14","2023-04-30 17:34:20.102",1,7,1,150,309,15
"0_0_3_31","2023-04-30 17:34:22.869",1,9,3,59,303,15
"0_0_3_31","2023-04-30 17:34:22.869",1,9,911,58,303,15
"0_0_3_31","2023-04-30 17:34:22.869",1,9,1,167,303,15
"0_0_3_4","2023-04-30 17:34:32.046",1,6,911,51,315,15
"0_0_3_4","2023-04-30 17:34:32.046",1,6,1,174,315,15
"0_0_3_4","2023-04-30 17:34:32.046",1,6,3,69,315,15
"0_0_5_39","2023-04-30 17:34:54.646",1,1,911,52,305,15
"0_0_5_39","2023-04-30 17:34:54.646",1,1,3,65,305,15
"0_0_5_39","2023-04-30 17:34:54.646",1,1,1,164,305,15
"0_0_5_28","2023-04-30 17:34:56.355",1,5,911,44,314,15
"0_0_5_28","2023-04-30 17:34:56.355",1,5,3,81,314,15
"0_0_5_28","2023-04-30 17:34:56.355",1,5,1,166,314,15
"3_21_0_1","2023-04-30 17:35:19.866",1,2,1,138,306,15
"3_21_0_1","2023-04-30 17:35:19.866",1,2,911,40,306,15
"3_21_0_1","2023-04-30 17:35:19.866",1,2,3,116,306,15
"0_0_3_13","2023-04-30 17:35:25.13",1,2,911,45,302,15
"0_0_3_13","2023-04-30 17:35:25.13",1,2,3,54,302,15
"0_0_3_13","2023-04-30 17:35:25.13",1,2,1,181,302,15
"0_0_3_23","2023-04-30 17:35:41.843",1,3,1,181,314,15
"0_0_3_23","2023-04-30 17:35:41.843",1,3,911,40,314,15
"0_0_3_23","2023-04-30 17:35:41.843",1,3,3,72,314,15
"0_0_6_4","2023-04-30 17:36:00.881",1,9,911,62,323,16
"0_0_6_4","2023-04-30 17:36:00.881",1,9,1,162,323,16
"0_0_6_4","2023-04-30 17:36:00.881",1,9,3,79,323,16
"0_0_5_23","2023-04-30 17:36:19.364",1,6,3,86,303,15
"0_0_5_23","2023-04-30 17:36:19.364",1,6,1,116,303,15
"0_0_5_23","2023-04-30 17:36:19.364",1,6,911,81,303,15
"0_0_5_2","2023-04-30 17:36:33.407",1,4,1,162,306,15
"0_0_5_2","2023-04-30 17:36:33.407",1,4,3,80,306,15
"0_0_5_2","2023-04-30 17:36:33.407",1,4,911,34,306,15
"0_0_6_4","2023-04-30 17:36:42.285",1,1,911,69,301,15
"0_0_6_4","2023-04-30 17:36:42.285",1,1,1,165,301,15
"0_0_6_4","2023-04-30 17:36:42.285",1,1,3,53,301,15
"0_0_3_30","2023-04-30 17:36:52.922",1,10,911,38,307,15
"0_0_3_30","2023-04-30 17:36:52.922",1,10,3,68,307,15
"0_0_3_30","2023-04-30 17:36:52.922",1,10,1,178,307,15
"0_0_3_14","2023-04-30 17:37:23.703",1,4,3,74,302,15
"0_0_3_14","2023-04-30 17:37:23.703",1,4,911,46,302,15
"0_0_3_14","2023-04-30 17:37:23.703",1,4,1,140,302,15
"3_21_0_1","2023-04-30 17:37:41.228",1,11,1,171,327,16
"3_21_0_1","2023-04-30 17:37:41.228",1,11,911,26,327,16
"3_21_0_1","2023-04-30 17:37:41.228",1,11,3,117,327,16
"0_0_3_23","2023-04-30 17:37:42.858",1,2,3,54,310,15
"0_0_3_23","2023-04-30 17:37:42.858",1,2,1,184,310,15
"0_0_3_23","2023-04-30 17:37:42.858",1,2,911,42,310,15
"0_0_5_28","2023-04-30 17:37:48.567",1,3,911,38,307,15
"0_0_5_28","2023-04-30 17:37:48.567",1,3,3,74,307,15
"0_0_5_28","2023-04-30 17:37:48.567",1,3,1,183,307,15
"0_0_4_8","2023-04-30 17:38:03.256",1,2,911,24,303,15
"0_0_4_8","2023-04-30 17:38:03.256",1,2,3,88,303,15
"0_0_4_8","2023-04-30 17:38:03.256",1,2,1,174,303,15
"0_0_5_5","2023-04-30 17:38:19.138",1,4,911,57,306,15
"0_0_5_5","2023-04-30 17:38:19.138",1,4,1,176,306,15
"0_0_5_5","2023-04-30 17:38:19.138",1,4,3,55,306,15
"3_17_0_2","2023-04-30 17:38:28.225",1,1,3,106,304,15
"3_17_0_2","2023-04-30 17:38:28.225",1,1,1,148,304,15
"3_17_0_2","2023-04-30 17:38:28.225",1,1,911,30,304,15
"4_30_0_1","2023-04-30 17:38:44.837",1,5,911,80,307,15
"4_30_0_1","2023-04-30 17:38:44.837",1,5,1,144,307,15
"4_30_0_1","2023-04-30 17:38:44.837",1,5,3,69,307,15
"0_0_4_22","2023-04-30 17:38:51.272",1,1,1,168,304,15
"0_0_4_22","2023-04-30 17:38:51.272",1,1,3,83,304,15
